                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5082,                 0.7638,                 1.1311,                 0.6379,                0.81809,                0.71601,                0.35718,                 1.9372,                 1.1252,                 4.0699,               0.008845,               0.008845,               0.008845
                     37,                0.51121,                0.75938,                 1.1379,                0.66854,                0.73902,                0.77155,                0.36508,                 1.9291,                 1.1142,                 3.8293,               0.008812,               0.008812,               0.008812
                     38,                0.51297,                0.74426,                 1.1304,                0.67628,                0.70018,                0.76313,                0.36823,                 1.8199,                 1.3694,                  3.728,               0.008779,               0.008779,               0.008779
                     39,                0.49894,                0.75248,                 1.1251,                0.65185,                0.83779,                0.78417,                0.38075,                 1.8521,                 1.0196,                 3.6662,               0.008746,               0.008746,               0.008746
                     40,                0.50684,                0.74325,                 1.1321,                0.40866,                   0.92,                0.70504,                0.35727,                 1.8098,                 1.8668,                 3.6777,               0.008713,               0.008713,               0.008713
                     41,                0.50013,                0.73727,                 1.1232,                0.72815,                0.78557,                0.78316,                0.36988,                 1.9346,                 1.1346,                 4.0971,                0.00868,                0.00868,                0.00868
                     42,                0.50654,                0.74847,                  1.136,                0.70638,                 0.7479,                0.77877,                 0.3824,                 1.8318,                  1.181,                 3.5262,               0.008647,               0.008647,               0.008647
                     43,                0.50791,                0.73019,                 1.1353,                0.54701,                   0.79,                0.75009,                 0.3538,                  1.976,                 1.5025,                 4.0353,               0.008614,               0.008614,               0.008614
                     44,                 0.5038,                0.73503,                 1.1202,                0.64283,                0.77922,                0.73758,                0.35975,                  1.968,                  1.214,                 3.9645,               0.008581,               0.008581,               0.008581
                     45,                0.49383,                0.72834,                 1.1195,                0.76585,                0.68216,                0.77775,                0.36321,                  1.949,                 1.1439,                 3.9468,               0.008548,               0.008548,               0.008548
                     46,                0.50661,                0.74281,                 1.1259,                0.67346,                0.72151,                0.74986,                 0.3676,                 1.8869,                 1.1027,                 3.8938,               0.008515,               0.008515,               0.008515
                     47,                0.51439,                0.74007,                 1.1359,                0.54231,                   0.77,                0.73979,                0.37029,                 1.9307,                 1.3342,                 3.8655,               0.008482,               0.008482,               0.008482
                     48,                0.50796,                0.75059,                 1.1314,                0.62158,                   0.72,                0.75575,                0.37515,                  1.851,                 1.2736,                 3.6113,               0.008449,               0.008449,               0.008449
                     49,                0.49943,                0.73533,                 1.1206,                  0.646,                   0.84,                 0.7434,                0.37328,                 1.8816,                 1.0905,                 3.9076,               0.008416,               0.008416,               0.008416
                     50,                0.50502,                0.72008,                 1.1291,                0.67657,                0.64586,                0.73536,                0.34869,                 1.8899,                 1.2166,                 3.9749,               0.008383,               0.008383,               0.008383
                     51,                0.50478,                0.73803,                 1.1259,                0.69839,                   0.75,                0.78633,                0.36786,                 1.9832,                 1.0631,                 4.1177,                0.00835,                0.00835,                0.00835
                     52,                0.50125,                0.73585,                 1.1283,                0.71918,                0.77129,                0.76977,                0.36585,                 1.8991,                 1.1558,                 4.0061,               0.008317,               0.008317,               0.008317
                     53,                 0.4846,                0.72888,                 1.1144,                0.78151,                0.82839,                0.83498,                0.39491,                 1.8557,                 1.0461,                 3.8279,               0.008284,               0.008284,               0.008284
                     54,                0.49234,                 0.7291,                 1.1211,                  0.686,                   0.76,                0.77321,                0.37449,                  1.816,                 1.1829,                 3.7599,               0.008251,               0.008251,               0.008251
                     55,                 0.5062,                0.72318,                 1.1277,                0.59725,                0.75666,                0.72279,                0.36019,                 1.8219,                 1.1981,                 3.8469,               0.008218,               0.008218,               0.008218
                     56,                0.48913,                0.71934,                 1.1237,                 0.5711,                   0.79,                0.73054,                0.36258,                 1.9375,                 1.1044,                  4.156,               0.008185,               0.008185,               0.008185
                     57,                0.50598,                  0.713,                  1.131,                0.60693,                   0.79,                0.74025,                0.36686,                 1.8903,                 1.2714,                 3.9572,               0.008152,               0.008152,               0.008152
                     58,                0.48983,                0.71432,                 1.1189,                0.56661,                0.79559,                0.70126,                0.33707,                 1.9048,                 1.1933,                 3.8549,               0.008119,               0.008119,               0.008119
                     59,                0.49746,                0.70945,                 1.1248,                0.67791,                0.78853,                0.75218,                0.36911,                 1.9089,                 1.1543,                 3.9137,               0.008086,               0.008086,               0.008086
                     60,                0.49795,                0.70839,                 1.1278,                0.65023,                0.79673,                0.77038,                0.36728,                 1.9445,                 1.1672,                 4.1534,               0.008053,               0.008053,               0.008053
                     61,                0.49114,                0.70345,                 1.1155,                0.62005,                   0.75,                0.73596,                 0.3483,                 1.8765,                 1.1802,                 3.8478,                0.00802,                0.00802,                0.00802
                     62,                0.50437,                0.71976,                 1.1257,                0.72833,                0.71719,                0.76883,                0.35588,                 1.9421,                 1.0551,                 4.1896,               0.007987,               0.007987,               0.007987
                     63,                0.49479,                0.70386,                 1.1214,                0.60118,                   0.75,                0.71816,                0.36867,                 1.8677,                 1.1321,                 3.8466,               0.007954,               0.007954,               0.007954
                     64,                 0.4858,                0.69235,                 1.1195,                0.73677,                0.75782,                0.75552,                0.35017,                 1.9509,                 1.2167,                 4.0762,               0.007921,               0.007921,               0.007921
                     65,                0.48679,                0.70374,                 1.1211,                0.77044,                   0.79,                0.82596,                0.39733,                 1.8893,                 1.0743,                 3.9973,               0.007888,               0.007888,               0.007888
                     66,                0.49105,                   0.71,                  1.114,                0.61323,                   0.85,                0.71196,                0.35831,                 1.9219,                    1.1,                 4.0857,               0.007855,               0.007855,               0.007855
                     67,                0.49103,                0.69472,                 1.1214,                 0.7186,                   0.84,                0.76863,                0.36723,                 1.9456,                 1.1148,                 4.0587,               0.007822,               0.007822,               0.007822
                     68,                0.49254,                0.70842,                 1.1212,                0.66328,                   0.74,                 0.7817,                0.36549,                 1.9557,                 1.2099,                 4.1929,               0.007789,               0.007789,               0.007789
                     69,                0.49324,                0.69397,                 1.1265,                0.64736,                0.88917,                 0.7943,                0.37248,                 1.9338,                 1.0816,                 3.9316,               0.007756,               0.007756,               0.007756
                     70,                 0.4803,                0.69127,                  1.118,                0.67791,                   0.78,                0.72448,                0.37318,                 1.8666,                 1.1117,                 3.8162,               0.007723,               0.007723,               0.007723
                     71,                0.49148,                0.68031,                 1.1262,                0.70521,                   0.75,                0.75563,                0.37034,                   1.93,                 1.1051,                 4.0616,                0.00769,                0.00769,                0.00769
                     72,                0.48918,                0.67626,                 1.1179,                0.71527,                0.79731,                0.80194,                0.37055,                 1.9134,                 1.1539,                 3.8266,               0.007657,               0.007657,               0.007657
                     73,                0.48805,                0.69099,                 1.1193,                0.72669,                0.79156,                0.80463,                 0.3781,                 1.8739,                 1.1526,                 3.8184,               0.007624,               0.007624,               0.007624
                     74,                0.48366,                0.67843,                   1.12,                0.66661,                0.82836,                0.80717,                0.37048,                 1.9425,                 1.1356,                 4.1961,               0.007591,               0.007591,               0.007591
                     75,                0.48643,                0.67211,                 1.1249,                0.70018,                   0.83,                0.78494,                0.37234,                 1.8818,                 1.1717,                 3.8405,               0.007558,               0.007558,               0.007558
                     76,                0.48055,                0.68446,                 1.1123,                0.75476,                0.76113,                0.79021,                0.37626,                 1.9153,                 1.1339,                 4.0941,               0.007525,               0.007525,               0.007525
