                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93543,                 1.6142,                  1.458,                  0.474,                    0.8,                 0.7097,                0.30156,                 1.9251,                 1.8776,                 3.1287,              0.0032558,              0.0032558,              0.0032558
                      2,                0.81941,                 1.4112,                  1.346,                0.52501,                0.74792,                0.68135,                0.27495,                 1.9446,                 1.6695,                 3.6785,              0.0065674,              0.0065674,              0.0065674
                      3,                0.84336,                 1.3525,                 1.3491,                0.43761,                0.79693,                0.57247,                0.25219,                 1.8924,                 1.4523,                 4.3847,               0.009857,               0.009857,               0.009857
                      4,                0.87348,                 1.2994,                 1.3728,                0.20934,                   0.52,                0.28512,                0.10293,                 2.1858,                 2.8662,                 4.2547,               0.009901,               0.009901,               0.009901
                      5,                0.85491,                 1.2378,                  1.356,                0.10205,                   0.19,                0.07555,                0.02539,                 2.6607,                 3.2417,                 4.4791,               0.009868,               0.009868,               0.009868
                      6,                 0.8248,                 1.2057,                 1.3365,                0.29343,                   0.64,                0.43168,                0.17864,                 1.9535,                 1.9921,                 3.7941,               0.009835,               0.009835,               0.009835
                      7,                0.81477,                  1.164,                 1.3257,                0.58111,                0.62592,                0.70057,                0.30542,                 1.8788,                 1.4076,                 3.7282,               0.009802,               0.009802,               0.009802
                      8,                0.78475,                 1.1413,                 1.2992,                0.49652,                   0.75,                0.67284,                0.26384,                 2.0871,                 1.5543,                 4.4248,               0.009769,               0.009769,               0.009769
                      9,                0.76518,                 1.1195,                 1.2951,                0.45524,                   0.78,                  0.626,                0.28446,                 1.9218,                 1.6677,                  3.879,               0.009736,               0.009736,               0.009736
                     10,                0.74573,                  1.097,                   1.28,                0.54041,                   0.72,                0.70848,                0.35558,                 1.7733,                 1.6064,                 4.2025,               0.009703,               0.009703,               0.009703
                     11,                0.73335,                 1.0896,                 1.2717,                0.49034,                0.73981,                0.62782,                0.27957,                 1.9729,                 1.5716,                   3.43,                0.00967,                0.00967,                0.00967
                     12,                0.71936,                  1.071,                 1.2588,                0.44225,                    0.8,                0.66525,                0.33163,                  1.889,                  1.326,                 3.7612,               0.009637,               0.009637,               0.009637
                     13,                 0.7147,                 1.0575,                  1.257,                0.47916,                   0.89,                0.70909,                0.34648,                 1.8657,                 1.4338,                 3.5034,               0.009604,               0.009604,               0.009604
                     14,                0.70004,                 1.0579,                 1.2458,                0.45223,                0.78264,                0.68027,                0.31881,                 1.8846,                  1.823,                 3.7433,               0.009571,               0.009571,               0.009571
                     15,                0.70359,                  1.048,                 1.2509,                0.41931,                0.83123,                0.60029,                0.29038,                   1.99,                 1.5857,                  3.967,               0.009538,               0.009538,               0.009538
                     16,                0.69629,                 1.0499,                  1.249,                0.59283,                    0.7,                0.71565,                0.33497,                 1.9418,                 1.2527,                 3.6587,               0.009505,               0.009505,               0.009505
                     17,                0.68118,                 1.0325,                 1.2397,                0.42198,                   0.84,                0.61272,                0.33779,                  1.822,                 1.3385,                 3.5661,               0.009472,               0.009472,               0.009472
                     18,                0.66756,                 1.0198,                 1.2299,                0.45746,                0.84658,                 0.6332,                0.34761,                  1.724,                 1.1936,                 3.2102,               0.009439,               0.009439,               0.009439
                     19,                 0.6751,                 1.0158,                 1.2305,                0.46115,                   0.74,                0.69802,                0.34592,                 1.7711,                  1.659,                 3.7426,               0.009406,               0.009406,               0.009406
                     20,                0.66299,                 1.0106,                 1.2247,                0.65844,                   0.73,                0.73657,                0.37374,                 1.7807,                 1.2775,                 3.4535,               0.009373,               0.009373,               0.009373
                     21,                0.65656,                0.99452,                 1.2268,                0.50048,                   0.83,                0.72866,                0.39794,                 1.7907,                 1.6352,                 3.5773,                0.00934,                0.00934,                0.00934
                     22,                0.65213,                0.99591,                 1.2151,                0.54011,                   0.83,                0.68733,                0.33793,                 1.8734,                 1.2861,                  3.531,               0.009307,               0.009307,               0.009307
                     23,                0.64721,                0.99903,                 1.2175,                0.59041,                0.74043,                0.71579,                0.34001,                  1.885,                 1.2838,                 3.6408,               0.009274,               0.009274,               0.009274
                     24,                0.65124,                 0.9946,                 1.2214,                0.47766,                    0.8,                0.70421,                0.34946,                 1.8703,                 1.4029,                 3.6551,               0.009241,               0.009241,               0.009241
                     25,                0.64192,                0.96667,                 1.2188,                0.55479,                    0.8,                 0.7125,                 0.3479,                 1.8715,                 1.1811,                 3.5533,               0.009208,               0.009208,               0.009208
